name,followers,active_followers,growth_rate,avg_story_views,niche,secondary_niche,city,estimated_reach,avg_likes,avg_comments,roi_score,engagement_rate
Rohan Kaur,1506714,607265,7.39,246761,Education,Photography,Hyderabad,597290,88680,3625,6.13,3.07
Krishna Mehta,1222385,571756,1.23,179968,Parenting,Fitness,Hyderabad,452013,46003,2868,4,3.33
Aanya Kaur,1997124,1115847,3.34,349654,Travel,Tech,Chandigarh,651887,41345,1703,2.16,6.92
Riya Jain,1801705,917676,4.76,403224,Photography,Food,Mumbai,714850,32362,1413,1.87,4.48
Kiran Sharma,201469,149774,7.06,51182,Finance,Food,Delhi,67252,4815,343,2.56,3.58
Vivaan Kapoor,474973,206192,4.06,64901,Photography,Health,Delhi,134072,19339,1089,4.3,4.28
Diya Sharma,2314584,1734132,2.57,825121,Health,Education,Bangalore,817568,102941,7059,4.75,4.61
Kabir Gupta,2939643,1510138,2.56,880282,Food,Health,Chandigarh,1019977,104868,6912,3.8,4.64
Tanya Sharma,2819272,1536655,5.08,554801,Comedy,Gaming,Kolkata,769684,58125,1764,2.12,2.62
Kabir Kapoor,1733182,1114633,0.68,555172,Parenting,Comedy,Hyderabad,508025,52960,2382,3.19,3.44
Vivaan Singh,2984831,1243980,3.81,589118,Health,Beauty,Bangalore,1052494,140971,9987,5.06,2.65
Rohan Verma,2898214,1496482,4.49,625365,Comedy,DIY,Hyderabad,1149076,97483,3242,3.48,5.28
Rohan Mehta,1950767,1096641,0.71,599819,DIY,Food,Hyderabad,772094,47318,1940,2.53,3.67
Tanya Kapoor,268958,161416,4.77,88883,Food,Parenting,Bangalore,106666,15883,951,6.26,1.99
Kiran Mehta,1470462,638569,4.19,219450,Finance,Comedy,Pune,576743,74992,2838,5.29,5.27
Dev Sharma,1088603,845873,7.52,442582,Travel,Gaming,Kolkata,410928,58810,3328,5.71,2.83
Krishna Verma,1125415,702679,7.54,228004,Food,Photography,Pune,286498,45420,1260,4.15,3.65
Sara Kapoor,2194639,1462551,3.26,455472,Travel,Beauty,Bangalore,840741,31044,1185,1.47,5.02
Ishaan Kaur,1527881,1016658,2.05,440621,DIY,Motivation,Chandigarh,577574,90166,4447,6.19,3.12
